title,release_year,age_certification,runtime,language,genres,production_countries,seasons,imdb_score,imdb_votes
Monty Python's Flying Circus,1969,TV-14,30,"English, Arabic, French, German, Italian, Mandarin, Spanish","['comedy', 'european']",['GB'],4.0,8.8,72895.0
Monty Python's Fliegender Zirkus,1972,TV-MA,43,"English, German",['comedy'],[],1.0,8.1,2144.0
Seinfeld,1989,TV-PG,24,English,['comedy'],['US'],9.0,8.9,302700.0
Knight Rider,1982,TV-PG,51,English,"['action', 'scifi', 'crime', 'drama']",['US'],4.0,6.9,33760.0
Thomas & Friends,1984,TV-Y,10,"Spanish, French, Chinese, Japanese, English","['family', 'comedy', 'music', 'action', 'animation', 'fantasy', 'drama']",['GB'],24.0,6.5,4948.0
Saved by the Bell,1989,TV-G,23,English,"['comedy', 'romance', 'family']",['US'],5.0,7.1,34854.0
Wheel of Fortune,1983,TV-G,26,English,['family'],['US'],39.0,6.7,3126.0
Major Dad,1989,TV-PG,24,English,"['comedy', 'family']",['US'],4.0,6.4,2866.0
Fireman Sam,1987,TV-Y,10,"English, Welsh","['comedy', 'animation', 'family', 'crime', 'european']",['GB'],13.0,6.1,1759.0
Danger Mouse,1981,TV-Y,15,English,"['comedy', 'family', 'scifi', 'animation', 'european']",['GB'],10.0,7.4,3514.0
High Risk,1988,TV-PG,50,English,['comedy'],['US'],1.0,3.8,6.0
Survivor,2000,TV-PG,48,English,['reality'],['US'],42.0,7.4,24368.0
Stargate SG-1,1997,TV-PG,44,English,"['scifi', 'drama', 'action']","['US', 'CA']",10.0,8.4,90196.0
Pokémon,1997,TV-Y7,22,Japanese,"['scifi', 'action', 'comedy', 'fantasy', 'animation', 'family']",['JP'],24.0,7.6,172.0
One Piece,1999,TV-14,23,Japanese,"['action', 'comedy', 'animation', 'drama', 'fantasy']",['JP'],21.0,8.8,112586.0
Cowboy Bebop,1998,TV-14,25,Japanese,"['western', 'action', 'scifi', 'thriller', 'animation', 'comedy', 'drama']",['JP'],1.0,8.9,112887.0
Star Trek: Deep Space Nine,1993,TV-PG,47,"English, Klingon","['scifi', 'action', 'drama']",['US'],7.0,8.1,61145.0
The Challenge,1998,TV-14,40,English,"['reality', 'comedy', 'drama', 'scifi']",['US'],37.0,7.8,3274.0
Gilmore Girls,2000,TV-14,46,English,"['comedy', 'drama']",['US'],8.0,8.2,119054.0
Neon Genesis Evangelion,1995,TV-14,24,"Japanese, German","['scifi', 'action', 'drama', 'thriller', 'fantasy', 'animation']",['JP'],1.0,8.5,64727.0
The Magic School Bus,1994,TV-Y,26,English,"['scifi', 'comedy', 'family', 'fantasy', 'animation']","['US', 'CA']",4.0,7.8,9708.0
Power Rangers,1993,TV-Y7,22,English,"['scifi', 'action', 'fantasy', 'family']",['US'],29.0,6.5,21949.0
Adventures of Sonic the Hedgehog,1993,TV-Y7,22,English,"['action', 'animation', 'scifi', 'western', 'fantasy', 'comedy', 'family']",['US'],4.0,6.2,3808.0
Goosebumps,1995,TV-PG,22,English,"['scifi', 'fantasy', 'horror', 'thriller', 'family', 'music']","['CA', 'US']",4.0,7.6,13361.0
Yu-Gi-Oh!,1998,TV-Y,22,Japanese,"['scifi', 'action', 'family', 'fantasy', 'animation', 'comedy', 'drama']",['JP'],7.0,7.2,20888.0
InuYasha,2000,TV-14,25,Japanese,"['action', 'comedy', 'scifi', 'animation', 'drama', 'fantasy', 'romance']",['JP'],9.0,7.9,15823.0
Barney & Friends,1992,TV-G,28,English,['family'],['US'],14.0,3.8,9955.0
Moesha,1996,TV-PG,21,English,"['drama', 'comedy', 'family']",['US'],6.0,5.7,3713.0
"Sister, Sister",1994,TV-PG,22,English,"['comedy', 'drama', 'family']",['US'],6.0,6.2,12535.0
Cardcaptor Sakura,1998,TV-Y7,25,Japanese,"['scifi', 'comedy', 'drama', 'family', 'fantasy', 'romance', 'animation', 'action']",['JP'],4.0,8.0,4936.0
Girlfriends,2000,TV-PG,21,English,"['comedy', 'drama']",['US'],8.0,7.2,4482.0
The Parkers,1999,TV-PG,19,English,['comedy'],['US'],5.0,6.8,2346.0
Dale's Supermarket Sweep,1993,TV-G,21,English,[],['GB'],8.0,7.1,39.0
Oggy and the Cockroaches,1999,TV-Y7,9,"French, English","['comedy', 'family', 'action', 'animation', 'european']",['FR'],7.0,7.4,4185.0
H,1998,TV-MA,25,French,['comedy'],['FR'],4.0,7.4,1703.0
Heartbreak High,1994,TV-MA,47,English,"['drama', 'romance', 'comedy']",['AU'],7.0,7.8,3106.0
Okupas,2000,TV-MA,40,Spanish,"['crime', 'drama']",['AR'],1.0,9.0,2326.0
Breaking Bad,2008,TV-MA,48,"English, Spanish","['drama', 'thriller', 'crime']",['US'],5.0,9.5,1727694.0
The Walking Dead,2010,TV-MA,46,English,"['action', 'drama', 'scifi', 'thriller', 'horror']",['US'],11.0,8.2,945125.0
The Staircase,2004,TV-MA,49,English,"['crime', 'documentation', 'drama']",['FR'],2.0,7.8,21531.0
Downton Abbey,2010,TV-14,58,English,"['drama', 'romance', 'european']",['GB'],6.0,8.7,197744.0
Grey's Anatomy,2005,TV-14,49,English,"['drama', 'romance']",['US'],18.0,7.6,293618.0
The Great British Baking Show,2010,TV-PG,57,English,"['reality', 'european']",['GB'],12.0,8.6,9564.0
Criminal Minds,2005,TV-14,44,English,"['thriller', 'crime', 'drama']",['US'],15.0,8.1,189191.0
NCIS,2003,TV-14,44,English,"['action', 'drama', 'crime', 'thriller', 'comedy']",['US'],19.0,7.8,141049.0
Community,2009,TV-PG,23,English,['comedy'],['US'],6.0,8.5,252564.0
Heartland,2007,TV-PG,44,English,"['drama', 'family']",['CA'],15.0,8.4,15743.0
Supernatural,2005,TV-14,45,English,"['scifi', 'thriller', 'drama', 'fantasy', 'horror']",['US'],15.0,8.5,428639.0
Arrested Development,2003,TV-MA,28,English,['comedy'],['US'],5.0,8.7,297552.0
The IT Crowd,2006,TV-14,25,English,"['comedy', 'european']",['GB'],5.0,8.5,147409.0
30 Rock,2006,TV-14,25,"English, Irish Gaelic","['comedy', 'sport']",['US'],7.0,8.3,121514.0
Avatar: The Last Airbender,2005,TV-Y7,24,English,"['scifi', 'family', 'fantasy', 'animation', 'action']",['US'],3.0,9.3,297336.0
Friday Night Lights,2006,TV-14,43,English,"['drama', 'sport']",['US'],5.0,8.7,64449.0
My Little Pony: Friendship Is Magic,2010,TV-Y7,22,English,"['scifi', 'animation', 'drama', 'fantasy', 'music', 'comedy', 'family']","['CA', 'US']",9.0,7.6,20708.0
The Fairly OddParents,2001,TV-Y7,24,"Arabic, Italian, French, Spanish, English","['scifi', 'family', 'fantasy', 'animation', 'comedy']","['US', 'CA']",10.0,7.2,38046.0
Sonic X,2003,TV-Y7,21,"Japanese, English","['action', 'drama', 'thriller', 'animation', 'comedy', 'fantasy', 'family', 'scifi']",['JP'],3.0,6.1,4577.0
DEATH NOTE,2006,TV-14,24,Japanese,"['scifi', 'animation', 'crime', 'drama', 'fantasy', 'thriller']",['JP'],1.0,9.0,302147.0
The Vampire Diaries,2009,TV-14,42,English,"['scifi', 'drama', 'thriller', 'fantasy', 'horror', 'romance']",['US'],8.0,7.7,310776.0
Naruto,2002,TV-PG,23,Japanese,"['scifi', 'comedy', 'animation', 'action', 'fantasy', 'thriller']",['JP'],6.0,8.4,93980.0
America's Next Top Model,2003,TV-14,44,N/A,['reality'],['US'],24.0,5.6,17843.0
Chappelle's Show,2003,TV-14,21,English,"['comedy', 'music']",['US'],3.0,8.8,62140.0
Trailer Park Boys,2001,TV-MA,25,English,"['comedy', 'crime']",['CA'],12.0,8.6,41791.0
Borgen,2010,TV-MA,58,Danish,"['drama', 'european']",['DK'],4.0,8.5,23523.0
iCarly,2007,TV-G,26,English,"['comedy', 'family', 'romance']",['US'],6.0,6.7,38281.0
Victorious,2010,TV-G,25,English,"['comedy', 'drama', 'family', 'music', 'romance', 'sport']",['US'],4.0,6.9,24224.0
Merlin,2008,TV-PG,44,"Old English, English","['action', 'scifi', 'drama', 'fantasy', 'european']",['GB'],5.0,7.9,80138.0
Gurren Lagann,2007,TV-14,24,Japanese,"['scifi', 'action', 'comedy', 'drama', 'animation']",['JP'],1.0,8.3,17024.0
Code Geass: Lelouch of the Rebellion,2006,TV-14,24,Japanese,"['scifi', 'animation', 'action', 'drama', 'thriller', 'war']",['JP'],3.0,8.7,62367.0
Transformers: Prime,2010,TV-Y7,22,English,"['action', 'comedy', 'drama', 'family', 'scifi', 'animation']",['US'],4.0,7.9,6500.0
The Mole,2001,TV-14,52,N/A,['reality'],"['US', 'BE']",5.0,7.6,1104.0
The 4400,2004,TV-14,44,English,"['scifi', 'thriller', 'drama']",['US'],4.0,7.3,44971.0
Still Game,2002,TV-14,29,English,"['comedy', 'european']",['GB'],9.0,8.9,7539.0
Midnight Diner,2009,TV-MA,27,Japanese,"['drama', 'comedy']",['JP'],5.0,8.6,2110.0
H2O: Just Add Water,2006,TV-PG,25,English,"['drama', 'scifi', 'fantasy', 'family']",['AU'],3.0,7.2,14782.0
Black Butler,2008,TV-MA,25,"Japanese, English","['scifi', 'fantasy', 'animation', 'comedy', 'drama', 'thriller', 'crime', 'horror', 'action']",['JP'],3.0,8.3,1856.0
Octonauts,2010,TV-Y,15,English,"['action', 'animation', 'comedy', 'family']",['GB'],6.0,7.6,1049.0
Strawberry Shortcake,2003,TV-Y,23,English,"['animation', 'family']",['US'],4.0,7.0,13.0
Total Drama Island,2007,TV-PG,23,"Romanian, English, French, Spanish","['action', 'reality', 'animation', 'family', 'comedy', 'drama']",['CA'],6.0,7.4,10523.0
Boys Over Flowers,2009,TV-14,64,Korean,"['comedy', 'drama', 'romance']",['KR'],1.0,7.9,11579.0
Winx Club,2004,TV-G,23,English,"['action', 'comedy', 'family', 'fantasy', 'animation', 'thriller', 'european']",['IT'],8.0,6.2,6700.0
Big Time Rush,2009,TV-G,25,English,"['comedy', 'family']",['US'],4.0,6.3,12046.0
Dead Set,2008,TV-MA,141,English,"['scifi', 'thriller', 'comedy', 'drama', 'horror', 'european']",['GB'],1.0,7.6,19684.0
Toradora!,2008,TV-14,30,"Japanese, English","['animation', 'romance', 'comedy', 'drama']",['JP'],2.0,8.0,14307.0
Shaun the Sheep,2007,TV-G,7,English,"['animation', 'comedy', 'family', 'european']",['GB'],6.0,8.0,25.0
Scare Tactics,2003,TV-14,22,English,"['comedy', 'horror', 'reality', 'scifi', 'thriller']",['US'],5.0,6.7,2512.0
Pocoyo,2005,TV-G,11,"Spanish, English","['animation', 'family', 'comedy', 'european']","['ES', 'GB']",4.0,3.9,93.0
The Game,2006,TV-14,22,N/A,"['comedy', 'drama', 'sport', 'romance']",['US'],10.0,6.6,4417.0
Angel Beats!,2010,TV-14,26,Japanese,"['scifi', 'action', 'comedy', 'drama', 'fantasy', 'animation']",['JP'],1.0,7.7,13848.0
Masha and the Bear,2009,TV-Y,6,Russian,"['comedy', 'family', 'action', 'animation']",['RU'],5.0,7.6,3114.0
Monty Python: Almost the Truth (The Lawyer's Cut),2009,TV-MA,55,English,"['comedy', 'documentation']",['US'],1.0,8.1,1740.0
Ouran High School Host Club,2006,TV-14,23,"Japanese, English","['comedy', 'drama', 'animation', 'romance']",['JP'],1.0,8.2,9763.0
The Ultimatum,2009,TV-14,44,"Mandarin, Chinese",['drama'],['SG'],1.0,5.4,6.0
Mobile Suit Gundam Unicorn,2010,TV-14,35,N/A,"['action', 'drama', 'scifi', 'war', 'animation']",['JP'],2.0,7.8,1291.0
Johnny Test,2005,TV-Y7,18,English,"['comedy', 'drama', 'family', 'scifi', 'animation', 'action']","['CA', 'US']",6.0,5.1,8172.0
Code Lyoko,2003,TV-G,24,"English, French","['action', 'fantasy', 'thriller', 'comedy', 'family', 'scifi', 'romance', 'animation']",['FR'],5.0,7.3,5109.0
Iris,2009,TV-14,61,Spanish,"['action', 'comedy', 'reality', 'romance', 'thriller']",['KR'],2.0,7.8,1951.0
DreamWorks Shrek's Swamp Stories,2010,TV-PG,24,English,"['horror', 'music', 'animation', 'comedy', 'family', 'fantasy', 'scifi']",['US'],1.0,6.5,330.0
Ben & Holly's Little Kingdom,2009,TV-G,14,English,"['comedy', 'family', 'fantasy', 'animation', 'european']",['GB'],3.0,7.5,1222.0
The Garfield Show,2009,TV-G,17,"English, French","['animation', 'comedy', 'family', 'european']",['US'],5.0,5.3,2499.0
Wakfu,2008,TV-Y7,22,"English, French","['action', 'drama', 'scifi', 'fantasy', 'animation', 'family', 'european']",['FR'],3.0,8.1,1469.0
Vampire Knight,2008,TV-14,25,Japanese,"['scifi', 'romance', 'animation', 'action', 'drama', 'fantasy', 'horror']",['JP'],2.0,7.3,5172.0
Den-noh Coil,2007,TV-Y7,25,Japanese,"['scifi', 'animation', 'comedy', 'drama']",['JP'],1.0,7.9,863.0
One on One,2001,TV-14,20,English,['comedy'],['US'],5.0,7.0,2303.0
The Cartel,2008,TV-MA,44,Spanish,"['action', 'crime', 'drama', 'thriller', 'comedy']",['CO'],2.0,8.1,755.0
The Mafia Dolls,2009,TV-14,43,Spanish,"['drama', 'action']",['CO'],2.0,6.6,284.0
Einsatzgruppen: The Nazi Death Squads,2009,TV-14,44,French,"['documentation', 'history', 'war', 'european']",['FR'],1.0,7.6,603.0
Dreamworks Happy Holidays from Madagascar,2005,TV-PG,0,English,"['animation', 'comedy', 'family']",['US'],1.0,6.5,96.0
Half & Half,2002,TV-14,21,English,['comedy'],['US'],4.0,7.0,1827.0
Timmy Time,2009,TV-Y,14,"None, English","['comedy', 'fantasy', 'animation', 'family', 'european']",['GB'],3.0,6.9,1083.0
Vientos de agua,2006,TV-MA,72,"Spanish, Bable",['drama'],"['ES', 'AR']",1.0,8.7,1034.0
Oscar's Oasis,2010,TV-Y,9,English,"['animation', 'comedy', 'european']",['FR'],1.0,7.4,572.0
Trotro,2004,TV-G,3,French,"['animation', 'family', 'european']",['FR'],2.0,6.2,120.0
Tayo the Little Bus,2010,TV-Y,11,"Indonesian, Japanese, Korean, English","['animation', 'comedy', 'family']",['KR'],6.0,5.2,156.0
Autumn's Concerto,2009,TV-14,58,Hokkien,"['drama', 'romance']",['TW'],1.0,7.9,475.0
DreamWorks Spooky Stories,2009,TV-PG,26,English,['animation'],['US'],1.0,6.2,19.0
Behind Enemy Lines,2001,TV-14,49,English,['drama'],['US'],1.0,7.2,42.0
Fated to Love You,2008,TV-G,67,Mandarin,"['drama', 'comedy', 'romance']",['TW'],1.0,7.4,461.0
Nuevo Rico Nuevo Pobre,2007,TV-MA,44,N/A,['comedy'],['CO'],1.0,7.2,203.0
Pecados capitales,2002,TV-MA,43,Spanish,"['comedy', 'drama', 'romance']",['CO'],1.0,8.5,190.0
Pedro El Escamoso,2001,TV-14,0,Spanish,"['drama', 'comedy']",['CO'],1.0,7.5,303.0
Monty Python's Personal Best,2006,TV-PG,56,English,['comedy'],"['US', 'GB']",1.0,7.9,437.0
El cartel 2 - La guerra total,2010,TV-MA,44,"Spanish, English, Portuguese","['action', 'crime', 'horror', 'thriller', 'war']",['CO'],1.0,6.8,228.0
Edge of the Universe,2002,TV-G,49,English,['documentation'],['GB'],1.0,7.2,206.0
The Fierce Wife,2010,TV-MA,59,Mandarin,['drama'],['TW'],1.0,6.8,90.0
The Hospital,2006,TV-14,48,Mandarin,['drama'],['TW'],1.0,7.4,40.0
Khawatir,2005,TV-14,20,Arabic,['reality'],[],11.0,9.6,3046.0
Black & White,2009,TV-14,37,Mandarin,"['action', 'comedy', 'sport', 'crime']",['TW'],3.0,7.6,302.0
The Prince Who Turns into a Frog,2005,TV-14,44,Mandarin,"['drama', 'romance', 'comedy']",['TW'],1.0,6.8,128.0
Cocaine,2005,TV-14,44,"English, Spanish, Portuguese","['documentation', 'european']",['US'],1.0,7.1,60.0
Breakout,2010,TV-14,44,Chinese,"['drama', 'action']",['SG'],1.0,6.7,7.0
At Dolphin Bay,2003,TV-14,59,"Mandarin, English","['drama', 'comedy', 'romance']",['TW'],1.0,6.9,39.0
My MVP Valentine,2002,TV-PG,69,Mandarin,['drama'],[],1.0,6.5,27.0
Unriddle,2010,TV-14,44,N/A,"['thriller', 'action', 'drama']",['SG'],2.0,8.0,25.0
Cocomong,2008,TV-Y,13,English,['animation'],[],4.0,5.6,11.0
Call the Midwife,2012,TV-PG,56,English,"['drama', 'history', 'european']",['GB'],11.0,8.5,25562.0
New Girl,2011,TV-14,21,English,"['comedy', 'romance']",['US'],7.0,7.7,216209.0
Black Mirror,2011,TV-MA,59,English,"['scifi', 'thriller', 'drama', 'european']",['GB'],5.0,8.8,515577.0
Longmire,2012,TV-14,53,"English, French","['western', 'action', 'crime', 'drama']",['US'],6.0,8.3,34362.0
Shameless,2011,TV-MA,54,English,"['drama', 'comedy']",['US'],11.0,8.6,230243.0
Happy Endings,2011,TV-14,21,English,"['comedy', 'romance']",['US'],3.0,7.8,37778.0
Last Tango in Halifax,2012,TV-14,59,English,"['comedy', 'drama', 'romance', 'european']",['GB'],5.0,8.3,6844.0
Ink Master,2012,TV-14,42,"Spanish, English",['reality'],['US'],13.0,7.4,3874.0
Top Boy,2011,TV-MA,48,English,"['drama', 'thriller', 'crime', 'european']",['GB'],2.0,8.4,22420.0
Hunter x Hunter,2011,TV-14,23,"Japanese, English","['drama', 'action', 'comedy', 'crime', 'animation', 'documentation', 'family', 'fantasy']",['JP'],3.0,9.0,87857.0
Arrow,2012,TV-14,42,"English, Greek, Arabic, Russian, Chinese, Spanish, Japanese","['action', 'crime', 'drama', 'scifi']",['US'],8.0,7.5,425716.0
The Legend of Korra,2012,TV-Y7,23,English,"['action', 'scifi', 'comedy', 'drama', 'family', 'fantasy', 'animation']",['US'],4.0,8.4,117464.0
Sword Art Online,2012,TV-MA,23,"Japanese, English","['scifi', 'action', 'animation', 'drama', 'western', 'comedy', 'fantasy', 'romance', 'thriller']",['JP'],4.0,7.6,43727.0
The Borgias,2011,TV-MA,51,English,"['drama', 'history', 'romance', 'crime']","['CA', 'HU', 'US']",3.0,7.9,50556.0
Ninjago: Masters of Spinjitzu,2012,TV-Y7,17,"Danish, English","['scifi', 'comedy', 'family', 'fantasy', 'animation', 'action', 'european']","['DK', 'US']",15.0,7.2,4519.0
Puella Magi Madoka Magica,2011,TV-14,24,Japanese,"['scifi', 'thriller', 'animation', 'drama', 'fantasy']",['JP'],1.0,8.3,9055.0
Transformers: Rescue Bots,2012,TV-Y7,22,English,"['action', 'scifi', 'comedy', 'family', 'animation']",['US'],4.0,6.4,915.0
Teen Mom 2,2011,TV-14,41,English,"['reality', 'romance', 'documentation', 'comedy']",['US'],11.0,4.5,28.0
Comedians in Cars Getting Coffee,2012,TV-14,20,English,"['comedy', 'family', 'animation']",['US'],11.0,8.0,12363.0
Lilyhammer,2012,TV-MA,45,"Norwegian, English, Portuguese, Lithuanian, Nepali, Arabic","['crime', 'comedy', 'drama']",['NO'],3.0,7.9,29196.0
TIGER & BUNNY,2011,TV-14,26,Japanese,"['scifi', 'action', 'animation', 'comedy', 'crime']",['JP'],2.0,7.3,998.0
Fate/Zero,2011,TV-MA,25,Japanese,"['scifi', 'action', 'animation', 'drama', 'fantasy', 'thriller']",['JP'],2.0,8.2,12568.0
Blue Exorcist,2011,TV-14,24,Japanese,"['scifi', 'horror', 'family', 'animation', 'action', 'drama', 'fantasy']",['JP'],2.0,7.5,12741.0
Barbie: Life in the Dreamhouse,2012,TV-Y,6,English,"['animation', 'comedy', 'family']",['US'],7.0,7.3,1806.0
anohana: The Flower We Saw That Day,2011,TV-PG,23,"Japanese, English","['drama', 'fantasy', 'romance', 'animation']",['JP'],1.0,8.2,12682.0
Magi,2012,TV-14,24,Japanese,"['scifi', 'action', 'comedy', 'animation', 'fantasy']",['JP'],3.0,7.8,3899.0
Cuckoo,2012,TV-14,27,English,"['comedy', 'drama', 'european']",['GB'],5.0,5.9,20.0
My Babysitter's a Vampire,2011,TV-PG,22,English,"['scifi', 'fantasy', 'horror', 'action', 'comedy']","['US', 'CA']",2.0,6.9,4367.0
Kuroko's Basketball,2012,TV-14,24,Japanese,"['animation', 'comedy', 'sport']",['JP'],3.0,8.3,8052.0
Rita,2012,TV-MA,40,Danish,"['comedy', 'drama', 'european']",['DK'],5.0,8.1,8718.0
Wolverine,2011,TV-14,24,"Japanese, English","['action', 'scifi', 'animation']",['JP'],1.0,6.2,1458.0
LEGO City,2011,TV-G,4,N/A,"['animation', 'european']",['GB'],3.0,5.0,37.0
MeatEater,2012,TV-14,22,English,['documentation'],['US'],10.0,7.5,1462.0
Outback Truckers,2012,TV-14,44,N/A,"['reality', 'documentation']",['AU'],9.0,7.4,264.0
LEGO Friends,2012,TV-Y,16,N/A,"['animation', 'european']",['US'],5.0,7.6,16.0
La Reina del Sur,2011,TV-MA,42,"Spanish, Arabic, Russian, English","['drama', 'action', 'crime', 'thriller']",['MX'],2.0,8.0,2445.0
Pablo Escobar: The Drug Lord,2012,TV-14,44,Spanish,"['crime', 'drama', 'history', 'thriller']",['CO'],1.0,8.4,4923.0
Larva,2011,TV-G,2,None,"['comedy', 'family', 'animation', 'drama', 'horror', 'thriller']",['KR'],5.0,7.1,582.0
The Ultimate Braai Master,2012,TV-PG,45,English,['reality'],['ZA'],4.0,8.2,31.0
Minecraft: Story Mode,2011,TV-PG,62,English,[],['US'],1.0,5.5,300.0
EastSiders,2012,TV-MA,22,"English, Swiss German","['drama', 'comedy']",['US'],4.0,6.8,2723.0
Smile PreCure!,2012,TV-Y7,22,"Japanese, English, Spanish, French, Italian, German, Korean","['comedy', 'action', 'scifi', 'family', 'fantasy', 'animation']",['JP'],2.0,6.1,388.0
Robocar Poli,2011,TV-Y,14,"Korean, Spanish, Chinese, Japanese, English, Portuguese","['family', 'fantasy', 'animation', 'comedy']",['KR'],4.0,5.8,125.0
Little Baby Bum,2011,TV-Y,5,"Spanish, Portuguese, English","['animation', 'family', 'music']",['GB'],4.0,6.4,94.0
The American Bible Challenge,2012,TV-G,43,English,['family'],['US'],3.0,6.4,125.0
Inside West Coast Customs,2011,TV-PG,47,English,['reality'],['US'],8.0,7.4,42.0
Masha's tales,2012,TV-Y,5,Russian,"['animation', 'family']",['RU'],2.0,6.4,89.0
El Reemplazante,2012,TV-MA,45,Spanish,['drama'],['CL'],2.0,8.5,755.0
Justin Time,2011,TV-Y,15,Spanish,"['action', 'animation', 'family', 'comedy']",['CA'],3.0,6.0,16.0
Meet the Adebanjos,2012,TV-PG,25,English,['comedy'],['GB'],3.0,7.6,76.0
The Oath,2011,TV-14,44,Mandarin,['drama'],['SG'],1.0,7.9,9.0
Inborn Pair,2011,TV-14,43,Mandarin,"['drama', 'comedy']",['TW'],1.0,7.1,108.0
Office Girls,2011,TV-14,46,Mandarin,"['drama', 'comedy', 'romance']",['TW'],1.0,6.9,140.0
"Love, Now",2012,TV-Y,45,Mandarin,"['drama', 'comedy']",['TW'],1.0,7.6,116.0
Masameer,2011,TV-MA,0,Arabic,"['comedy', 'animation']",['SA'],1.0,8.2,677.0
Drunken to Love You,2011,TV-14,46,N/A,"['comedy', 'drama', 'romance']",['TW'],1.0,6.5,114.0
Yours Fatefully,2012,TV-14,44,Chinese,"['drama', 'comedy', 'romance']",['SG'],1.0,6.8,14.0
The Glamorous Imperial Concubine,2011,TV-PG,47,Mandarin,"['drama', 'romance', 'history']",['CN'],1.0,7.0,142.0
Outlander,2014,TV-MA,60,"English, Gaelic","['scifi', 'drama', 'fantasy', 'romance']",['US'],6.0,8.4,152435.0
Peaky Blinders,2013,TV-MA,58,"English, Romanian, Irish Gaelic, Italian, Yiddish, French","['drama', 'crime', 'european']",['GB'],6.0,8.8,485506.0
Attack on Titan,2013,TV-MA,24,Japanese,"['scifi', 'action', 'drama', 'fantasy', 'horror', 'animation']",['JP'],4.0,9.0,325381.0
The Blacklist,2013,TV-14,43,English,"['drama', 'crime', 'thriller']",['US'],9.0,8.0,238138.0
Married at First Sight,2014,TV-PG,64,English,"['reality', 'european']",['US'],14.0,6.1,1975.0
The Flash,2014,TV-14,42,English,"['scifi', 'drama', 'action']",['US'],8.0,7.6,336888.0
Gotham,2014,TV-14,43,"English, Russian, Italian, French, Spanish, Arabic","['scifi', 'action', 'crime', 'drama', 'thriller']",['US'],5.0,7.8,226081.0
Are You The One?,2014,TV-14,41,English,['reality'],['US'],8.0,6.5,2450.0
The 100,2014,TV-14,42,"English, Mandarin, French, Spanish","['drama', 'action', 'scifi']",['US'],7.0,7.6,242221.0
How to Get Away with Murder,2014,TV-14,43,"English, Spanish","['drama', 'thriller', 'crime']",['US'],6.0,8.1,146712.0
Reign,2013,TV-14,42,English,"['drama', 'fantasy']",['US'],4.0,7.5,47751.0
BoJack Horseman,2014,TV-MA,26,English,"['drama', 'comedy', 'animation']",['US'],6.0,8.8,143584.0
House of Cards,2013,TV-MA,52,English,['drama'],['US'],6.0,8.7,494092.0
Henry Danger,2014,TV-G,24,English,"['scifi', 'action', 'comedy', 'family']",['US'],5.0,5.6,5245.0
Orange Is the New Black,2013,TV-MA,59,English,"['drama', 'comedy', 'crime']",['US'],7.0,8.1,295591.0
The Originals,2013,TV-14,43,English,"['scifi', 'drama', 'fantasy', 'horror']",['US'],5.0,8.3,131574.0
Jane the Virgin,2014,TV-14,42,English,"['drama', 'comedy']",['US'],5.0,7.8,46286.0
Marco Polo,2014,TV-MA,55,"English, Cantonese, Mandarin, Mongolian, Persian, Italian, Uighur, Arabic","['action', 'drama', 'history', 'documentation']",['US'],2.0,8.0,71229.0
Wentworth,2013,TV-MA,46,English,"['drama', 'crime', 'thriller']",['AU'],9.0,8.6,21747.0
Madam Secretary,2014,TV-14,43,English,"['war', 'thriller', 'drama']",['US'],6.0,7.6,22563.0
KILL la KILL,2013,TV-MA,25,"Japanese, French, English","['action', 'scifi', 'fantasy', 'animation', 'comedy', 'drama']",['JP'],1.0,7.9,13372.0
Z Nation,2014,TV-14,43,English,"['action', 'drama', 'scifi', 'comedy', 'horror', 'romance']",['US'],5.0,6.6,36059.0
From Dusk Till Dawn: The Series,2014,TV-14,45,English,"['scifi', 'crime', 'fantasy', 'horror', 'action']",['US'],3.0,6.9,20132.0
Derek,2013,TV-MA,26,English,"['drama', 'comedy', 'european']",['GB'],3.0,8.1,31976.0
The Thundermans,2013,TV-G,24,English,"['action', 'scifi', 'family', 'comedy', 'drama']",['US'],4.0,5.6,5340.0
Hemlock Grove,2013,TV-MA,49,English,"['thriller', 'drama', 'fantasy', 'horror', 'scifi']",['US'],3.0,7.0,39590.0
The Seven Deadly Sins,2014,TV-14,24,Japanese,"['action', 'scifi', 'comedy', 'fantasy', 'animation']",['JP'],5.0,7.9,30341.0
Sofia the First,2013,TV-Y,24,English,"['family', 'fantasy', 'animation']",['US'],4.0,6.8,2915.0
Sailor Moon Crystal,2014,TV-14,24,Japanese,"['scifi', 'animation', 'action', 'comedy', 'drama', 'fantasy', 'romance', 'family']",['JP'],4.0,7.8,2115.0
Lovesick,2014,TV-MA,24,English,"['comedy', 'european']",['GB'],3.0,8.1,19259.0
Shtisel,2013,TV-14,48,"Hebrew, Yiddish",['drama'],['IL'],3.0,8.6,6958.0
The Chase,2013,TV-PG,44,English,['reality'],['US'],5.0,7.5,886.0
The Night Shift,2014,TV-14,42,Portuguese,"['drama', 'romance', 'fantasy', 'horror', 'action', 'animation', 'comedy']",['US'],4.0,7.5,12069.0
The Next Step,2013,TV-G,24,English,"['drama', 'romance', 'family']",['CA'],7.0,5.9,1928.0
Velvet,2014,TV-14,57,Spanish,"['drama', 'romance', 'thriller', 'action', 'crime', 'european']",['ES'],4.0,8.1,6018.0
Zach Stone Is Gonna Be Famous,2013,TV-PG,20,English,['comedy'],['US'],1.0,8.3,3616.0
