title,release_year,age_certification,runtime,language,genres,production_countries,seasons,imdb_score,imdb_votes
Beyond Evil,2021,TV-MA,66,Korean,"['crime', 'thriller', 'drama']",['KR'],1.0,8.1,2776.0
Centaurworld,2021,TV-Y7,29,English,"['scifi', 'action', 'family', 'fantasy', 'animation', 'comedy']",['US'],2.0,7.6,1939.0
Power Rangers Dino Fury,2021,TV-Y7,21,English,"['comedy', 'drama', 'fantasy', 'scifi', 'thriller', 'action']",[],2.0,7.0,479.0
House of Secrets: The Burari Deaths,2021,TV-MA,45,"Hindi, English","['documentation', 'crime', 'history']",['IN'],1.0,7.4,9504.0
Open Your Eyes,2021,TV-MA,47,Polish,"['scifi', 'drama', 'thriller']",['PL'],1.0,6.5,1413.0
Tiger King: The Doc Antle Story,2021,TV-MA,42,English,"['crime', 'documentation']",['US'],1.0,6.2,1330.0
Tear Along the Dotted Line,2021,TV-14,19,Italian,"['drama', 'comedy', 'animation']",['IT'],1.0,8.7,7595.0
Feels Like Ishq,2021,TV-MA,42,Hindi,"['drama', 'romance', 'comedy']",['IN'],1.0,6.4,1514.0
Octonauts: Above & Beyond,2021,TV-Y,25,English,"['family', 'animation']",['KR'],1.0,7.4,66.0
The Crew,2021,TV-14,29,English,['comedy'],['US'],1.0,6.5,5396.0
The Unlikely Murderer,2021,TV-MA,46,Swedish,"['drama', 'crime']",['SE'],1.0,7.0,3954.0
Byron Baes,2022,TV-MA,45,English,['reality'],['AU'],1.0,2.6,445.0
The Kingdom,2021,TV-MA,47,Spanish,"['drama', 'crime']",['AR'],1.0,6.5,1319.0
Spycraft,2021,TV-MA,34,English,['documentation'],['US'],1.0,6.7,1976.0
"Sex, Love & Goop",2021,TV-MA,35,N/A,"['comedy', 'romance']",['US'],1.0,4.8,713.0
Thomas & Friends: All Engines Go!,2021,TV-Y,11,"English, French, Spanish, Italian, Portuguese","['animation', 'comedy', 'fantasy', 'drama', 'music', 'family']",[],1.0,1.7,509.0
Sparking Joy with Marie Kondo,2021,TV-PG,20,"English, Japanese",['reality'],[],1.0,6.2,341.0
Elite Short Stories: Guzmán Caye Rebe,2021,TV-MA,12,Spanish,"['drama', 'crime', 'thriller']",['ES'],1.0,7.4,2254.0
Elite Short Stories: Patrick,2021,TV-MA,12,Spanish,"['comedy', 'drama']",['ES'],1.0,6.1,671.0
Top Secret UFO Projects: Declassified,2021,TV-PG,43,N/A,['documentation'],['GB'],1.0,5.5,1371.0
Getting Curious with Jonathan Van Ness,2022,TV-MA,26,English,"['comedy', 'reality']",['US'],1.0,7.0,494.0
The Orbital Children,2022,TV-14,32,Japanese,"['action', 'scifi', 'drama', 'fantasy', 'animation']",['JP'],2.0,6.4,497.0
Move to Heaven,2021,TV-MA,52,"Korean, Korean Sign ",['drama'],['KR'],1.0,8.6,5307.0
Gabby's Dollhouse,2021,TV-Y,23,English,"['fantasy', 'animation', 'comedy', 'family']",['US'],4.0,7.2,344.0
Fatma,2021,TV-MA,42,Turkish,"['crime', 'drama', 'thriller']",['TR'],1.0,7.4,8185.0
Single’s Inferno,2021,TV-PG,64,Korean,['reality'],['KR'],2.0,7.2,1460.0
Inspector Koo,2021,TV-14,69,Korean,"['action', 'comedy', 'thriller']",['KR'],1.0,6.9,534.0
Last Chance U: Basketball,2021,TV-MA,60,English,"['documentation', 'sport']",['US'],1.0,8.3,2429.0
Waffles + Mochi,2021,TV-Y,30,English,['family'],['US'],1.0,7.5,463.0
Love is Blind: Japan,2022,TV-PG,57,Japanese,"['reality', 'romance']",['JP'],1.0,7.1,394.0
Back to 15,2022,TV-14,39,Portuguese,"['comedy', 'drama']",['BR'],1.0,6.6,574.0
Battle Kitty,2022,TV-Y7,32,English,"['animation', 'action', 'comedy', 'family', 'fantasy', 'scifi']",['US'],1.0,7.4,60.0
Once Upon a Time... Happily Never After,2022,TV-MA,30,Spanish,"['scifi', 'comedy', 'fantasy']",['ES'],1.0,5.4,437.0
Aranyak,2021,TV-MA,41,Hindi,"['crime', 'thriller', 'drama']",['IN'],1.0,7.9,7629.0
Ganglands,2021,TV-MA,46,French,"['action', 'crime', 'drama', 'thriller']",['FR'],1.0,7.0,2460.0
Elite Short Stories: Nadia Guzmán,2021,TV-MA,11,Spanish,"['drama', 'romance']",['ES'],1.0,6.3,1851.0
Swap Shop,2021,TV-14,30,English,['reality'],['US'],2.0,6.7,325.0
Headspace Guide to Meditation,2021,TV-G,22,English,"['documentation', 'animation']",['US'],1.0,8.4,1540.0
Twenty Somethings: Austin,2021,TV-MA,30,English,['reality'],['US'],1.0,6.0,427.0
The Parisian Agency: Exclusive Properties,2021,TV-14,54,French,['reality'],['FR'],2.0,7.4,593.0
Penguin Town,2021,TV-G,30,English,"['documentation', 'drama', 'family', 'comedy']",['ZA'],1.0,7.9,824.0
Kitz,2021,TV-MA,44,German,"['thriller', 'drama']","['AT', 'DE']",1.0,5.7,2302.0
This Is Pop,2021,TV-MA,44,English,"['music', 'documentation']",['CA'],1.0,6.9,1076.0
Luna Park,2021,TV-MA,50,Italian,"['drama', 'romance']",['IT'],1.0,6.4,691.0
Forecasting Love and Weather,2022,TV-14,66,Korean,"['drama', 'romance']",['KR'],1.0,7.2,1016.0
Amend: The Fight for America,2021,TV-MA,59,English,"['war', 'documentation', 'history']",['US'],1.0,7.8,1281.0
Go Dog Go,2021,TV-Y,24,"English, Ukrainian",['animation'],['US'],2.0,7.2,179.0
Selling Tampa,2021,TV-MA,40,English,['reality'],['US'],1.0,4.4,708.0
Elves,2021,TV-14,24,Danish,"['fantasy', 'horror', 'thriller', 'family', 'drama', 'scifi']",['DK'],1.0,5.5,4075.0
Light the Night,2021,TV-MA,57,"Chinese, Mandarin","['drama', 'thriller', 'crime']",['TW'],3.0,7.4,968.0
800 Meters,2022,TV-MA,52,"Spanish, Arabic, Catalan","['documentation', 'crime']",['ES'],1.0,6.9,459.0
Action Pack,2022,TV-Y,28,"English, Spanish","['action', 'comedy', 'family', 'fantasy', 'scifi', 'animation']",['US'],1.0,6.5,66.0
Finding Ola,2022,TV-14,53,Arabic,"['comedy', 'drama']",[],1.0,7.6,1431.0
