title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,Language
John of God: The Crimes of a Spiritual Healer,SHOW,2021,TV-MA,50,"['crime', 'documentation']",['BR'],1.0,tt15233856,6.5,777.0,Portuguese
Insiders,SHOW,2021,TV-MA,48,['reality'],['ES'],2.0,tt15436028,4.2,609.0,Spanish
Too Hot to Handle: Latino,SHOW,2021,TV-14,36,"['reality', 'romance']",['MX'],1.0,tt15251764,5.2,260.0,Spanish
Pedal to Metal,SHOW,2022,TV-MA,38,"['action', 'crime', 'thriller', 'drama']",['MX'],1.0,tt15016440,7.5,51.0,Spanish
Midnight Asia: Eat · Dance · Dream,SHOW,2022,TV-MA,37,['documentation'],['SG'],1.0,tt16583602,6.6,474.0,English
Dad Stop Embarrassing Me!,SHOW,2021,TV-14,25,"['comedy', 'family']",['US'],1.0,tt13018090,4.1,1853.0,English
Mine,SHOW,2021,TV-14,69,['drama'],['KR'],1.0,tt14023192,7.8,1101.0,Korean
Sharkdog,SHOW,2021,TV-Y,0,"['comedy', 'family', 'animation']","['SG', 'US']",1.0,tt12211696,6.2,136.0,English
Cat People,SHOW,2021,TV-14,32,['documentation'],['US'],1.0,tt14818454,6.3,266.0,English
Love Is Blind: Brazil,SHOW,2021,TV-MA,56,"['romance', 'reality']",['BR'],1.0,tt15018224,6.1,425.0,Portuguese
Tattoo Redo,SHOW,2021,TV-MA,30,['reality'],['US'],1.0,tt14956090,5.8,680.0,English
Bake Squad,SHOW,2021,TV-PG,38,['reality'],['US'],1.0,tt15078760,6.9,651.0,English
Country Comfort,SHOW,2021,TV-PG,24,"['drama', 'comedy', 'action', 'family', 'music']",['US'],1.0,tt11717394,6.9,3301.0,English
Secrets of Summer,SHOW,2022,TV-Y,30,"['drama', 'family', 'music']",['ES'],1.0,tt12379170,5.9,110.0,Spanish
Adventure Beast,SHOW,2021,TV-MA,19,"['comedy', 'animation']",['US'],1.0,tt15478708,5.2,496.0,English
Transformers: BotBots,SHOW,2022,TV-Y,25,"['animation', 'action', 'comedy', 'family', 'fantasy', 'scifi']",['US'],1.0,tt14202476,6.8,68.0,English
Zero,SHOW,2021,TV-MA,24,"['scifi', 'action', 'comedy', 'drama', 'fantasy']",['IT'],1.0,tt10619486,5.6,1270.0,Italian
Headspace Guide to Sleep,SHOW,2021,TV-G,19,"['animation', 'documentation']",['US'],1.0,tt14318406,6.8,445.0,English
Dealer,SHOW,2021,TV-MA,32,"['action', 'drama', 'crime', 'thriller']",['FR'],1.0,tt13702252,6.1,659.0,French
A Tale Dark & Grimm,SHOW,2021,TV-Y7,31,"['comedy', 'family', 'fantasy', 'animation', 'action']","['ES', 'US']",1.0,tt2386826,7.3,1193.0,English
Ray,SHOW,2021,TV-MA,59,"['drama', 'thriller', 'crime']",['IN'],1.0,tt14160660,7.2,8668.0,"Hindi, English"
Your Life is a Joke,SHOW,2021,TV-MA,37,"['comedy', 'documentation']",['DE'],1.0,tt15663868,5.5,83.0,German
Hype House,SHOW,2022,TV-MA,32,['reality'],['US'],1.0,tt15257704,2.3,2860.0,English
Ridley Jones,SHOW,2021,TV-Y,28,"['animation', 'comedy', 'family', 'fantasy']",['US'],3.0,tt13351440,4.7,223.0,English
Myth and Mogul: John DeLorean,SHOW,2021,TV-14,44,"['documentation', 'crime']",['US'],1.0,tt14968268,6.8,1009.0,English
Cooking With Paris,SHOW,2021,TV-MA,23,['reality'],['US'],1.0,tt15036422,5.2,1055.0,English
Dogs in Space,SHOW,2021,TV-Y7,22,"['comedy', 'family', 'fantasy', 'scifi', 'animation', 'action']",['US'],1.0,tt14906826,7.2,560.0,English
Human: The World Within,SHOW,2021,TV-PG,52,['documentation'],['US'],1.0,tt14574154,6.8,697.0,N/A
