title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,Language
Monty Python's Flying Circus,SHOW,1969,TV-14,30,"['comedy', 'european']",['GB'],4.0,tt0063929,8.8,72895.0,"English, Arabic, French, German, Italian, Mandarin, Spanish"
Monty Python's Fliegender Zirkus,SHOW,1972,TV-MA,43,['comedy'],[],1.0,tt0202477,8.1,2144.0,"English, German"
Seinfeld,SHOW,1989,TV-PG,24,['comedy'],['US'],9.0,tt0098904,8.9,302700.0,English
Knight Rider,SHOW,1982,TV-PG,51,"['action', 'scifi', 'crime', 'drama']",['US'],4.0,tt0083437,6.9,33760.0,English
Thomas & Friends,SHOW,1984,TV-Y,10,"['family', 'comedy', 'music', 'action', 'animation', 'fantasy', 'drama']",['GB'],24.0,tt0086815,6.5,4948.0,"Spanish, French, Chinese, Japanese, English"
Saved by the Bell,SHOW,1989,TV-G,23,"['comedy', 'romance', 'family']",['US'],5.0,tt0096694,7.1,34854.0,English
Wheel of Fortune,SHOW,1983,TV-G,26,['family'],['US'],39.0,tt0072584,6.7,3126.0,English
Major Dad,SHOW,1989,TV-PG,24,"['comedy', 'family']",['US'],4.0,tt0096643,6.4,2866.0,English
Fireman Sam,SHOW,1987,TV-Y,10,"['comedy', 'animation', 'family', 'crime', 'european']",['GB'],13.0,tt0329829,6.1,1759.0,"English, Welsh"
Danger Mouse,SHOW,1981,TV-Y,15,"['comedy', 'family', 'scifi', 'animation', 'european']",['GB'],10.0,tt0081848,7.4,3514.0,English
High Risk,SHOW,1988,TV-PG,50,['comedy'],['US'],1.0,tt0094478,3.8,6.0,English
Survivor,SHOW,2000,TV-PG,48,['reality'],['US'],42.0,tt0239195,7.4,24368.0,English
Stargate SG-1,SHOW,1997,TV-PG,44,"['scifi', 'drama', 'action']","['US', 'CA']",10.0,tt0118480,8.4,90196.0,English
Pokémon,SHOW,1997,TV-Y7,22,"['scifi', 'action', 'comedy', 'fantasy', 'animation', 'family']",['JP'],24.0,tt0168366,7.6,172.0,Japanese
One Piece,SHOW,1999,TV-14,23,"['action', 'comedy', 'animation', 'drama', 'fantasy']",['JP'],21.0,tt0388629,8.8,112586.0,Japanese
Cowboy Bebop,SHOW,1998,TV-14,25,"['western', 'action', 'scifi', 'thriller', 'animation', 'comedy', 'drama']",['JP'],1.0,tt0213338,8.9,112887.0,Japanese
Star Trek: Deep Space Nine,SHOW,1993,TV-PG,47,"['scifi', 'action', 'drama']",['US'],7.0,tt0106145,8.1,61145.0,"English, Klingon"
The Challenge,SHOW,1998,TV-14,40,"['reality', 'comedy', 'drama', 'scifi']",['US'],37.0,tt0176095,7.8,3274.0,English
Gilmore Girls,SHOW,2000,TV-14,46,"['comedy', 'drama']",['US'],8.0,tt0238784,8.2,119054.0,English
Neon Genesis Evangelion,SHOW,1995,TV-14,24,"['scifi', 'action', 'drama', 'thriller', 'fantasy', 'animation']",['JP'],1.0,tt0112159,8.5,64727.0,"Japanese, German"
The Magic School Bus,SHOW,1994,TV-Y,26,"['scifi', 'comedy', 'family', 'fantasy', 'animation']","['US', 'CA']",4.0,tt0108847,7.8,9708.0,English
Power Rangers,SHOW,1993,TV-Y7,22,"['scifi', 'action', 'fantasy', 'family']",['US'],29.0,tt0106064,6.5,21949.0,English
Adventures of Sonic the Hedgehog,SHOW,1993,TV-Y7,22,"['action', 'animation', 'scifi', 'western', 'fantasy', 'comedy', 'family']",['US'],4.0,tt0222518,6.2,3808.0,English
Goosebumps,SHOW,1995,TV-PG,22,"['scifi', 'fantasy', 'horror', 'thriller', 'family', 'music']","['CA', 'US']",4.0,tt0111987,7.6,13361.0,English
Yu-Gi-Oh!,SHOW,1998,TV-Y,22,"['scifi', 'action', 'family', 'fantasy', 'animation', 'comedy', 'drama']",['JP'],7.0,tt4834194,7.2,20888.0,Japanese
InuYasha,SHOW,2000,TV-14,25,"['action', 'comedy', 'scifi', 'animation', 'drama', 'fantasy', 'romance']",['JP'],9.0,tt0290223,7.9,15823.0,Japanese
Barney & Friends,SHOW,1992,TV-G,28,['family'],['US'],14.0,tt0144701,3.8,9955.0,English
Moesha,SHOW,1996,TV-PG,21,"['drama', 'comedy', 'family']",['US'],6.0,tt0115275,5.7,3713.0,English
"Sister, Sister",SHOW,1994,TV-PG,22,"['comedy', 'drama', 'family']",['US'],6.0,tt0108927,6.2,12535.0,English
Cardcaptor Sakura,SHOW,1998,TV-Y7,25,"['scifi', 'comedy', 'drama', 'family', 'fantasy', 'romance', 'animation', 'action']",['JP'],4.0,tt0221735,8.0,4936.0,Japanese
Girlfriends,SHOW,2000,TV-PG,21,"['comedy', 'drama']",['US'],8.0,tt0247102,7.2,4482.0,English
The Parkers,SHOW,1999,TV-PG,19,['comedy'],['US'],5.0,tt0200353,6.8,2346.0,English
Dale's Supermarket Sweep,SHOW,1993,TV-G,21,[],['GB'],8.0,tt0962853,7.1,39.0,English
Oggy and the Cockroaches,SHOW,1999,TV-Y7,9,"['comedy', 'family', 'action', 'animation', 'european']",['FR'],7.0,tt0213363,7.4,4185.0,"French, English"
H,SHOW,1998,TV-MA,25,['comedy'],['FR'],4.0,tt0173554,7.4,1703.0,French
Heartbreak High,SHOW,1994,TV-MA,47,"['drama', 'romance', 'comedy']",['AU'],7.0,tt0108800,7.8,3106.0,English
Okupas,SHOW,2000,TV-MA,40,"['crime', 'drama']",['AR'],1.0,tt0289649,9.0,2326.0,Spanish
Breaking Bad,SHOW,2008,TV-MA,48,"['drama', 'thriller', 'crime']",['US'],5.0,tt0903747,9.5,1727694.0,"English, Spanish"
The Walking Dead,SHOW,2010,TV-MA,46,"['action', 'drama', 'scifi', 'thriller', 'horror']",['US'],11.0,tt1520211,8.2,945125.0,English
The Staircase,SHOW,2004,TV-MA,49,"['crime', 'documentation', 'drama']",['FR'],2.0,tt0388644,7.8,21531.0,English
Downton Abbey,SHOW,2010,TV-14,58,"['drama', 'romance', 'european']",['GB'],6.0,tt1606375,8.7,197744.0,English
Grey's Anatomy,SHOW,2005,TV-14,49,"['drama', 'romance']",['US'],18.0,tt0413573,7.6,293618.0,English
The Great British Baking Show,SHOW,2010,TV-PG,57,"['reality', 'european']",['GB'],12.0,tt1877368,8.6,9564.0,English
Criminal Minds,SHOW,2005,TV-14,44,"['thriller', 'crime', 'drama']",['US'],15.0,tt0452046,8.1,189191.0,English
NCIS,SHOW,2003,TV-14,44,"['action', 'drama', 'crime', 'thriller', 'comedy']",['US'],19.0,tt0364845,7.8,141049.0,English
Community,SHOW,2009,TV-PG,23,['comedy'],['US'],6.0,tt1439629,8.5,252564.0,English
Heartland,SHOW,2007,TV-PG,44,"['drama', 'family']",['CA'],15.0,tt1094229,8.4,15743.0,English
Supernatural,SHOW,2005,TV-14,45,"['scifi', 'thriller', 'drama', 'fantasy', 'horror']",['US'],15.0,tt0460681,8.5,428639.0,English
Arrested Development,SHOW,2003,TV-MA,28,['comedy'],['US'],5.0,tt0367279,8.7,297552.0,English
The IT Crowd,SHOW,2006,TV-14,25,"['comedy', 'european']",['GB'],5.0,tt0487831,8.5,147409.0,English
30 Rock,SHOW,2006,TV-14,25,"['comedy', 'sport']",['US'],7.0,tt0496424,8.3,121514.0,"English, Irish Gaelic"
Avatar: The Last Airbender,SHOW,2005,TV-Y7,24,"['scifi', 'family', 'fantasy', 'animation', 'action']",['US'],3.0,tt0417299,9.3,297336.0,English
Friday Night Lights,SHOW,2006,TV-14,43,"['drama', 'sport']",['US'],5.0,tt0758745,8.7,64449.0,English
My Little Pony: Friendship Is Magic,SHOW,2010,TV-Y7,22,"['scifi', 'animation', 'drama', 'fantasy', 'music', 'comedy', 'family']","['CA', 'US']",9.0,tt1751105,7.6,20708.0,English
The Fairly OddParents,SHOW,2001,TV-Y7,24,"['scifi', 'family', 'fantasy', 'animation', 'comedy']","['US', 'CA']",10.0,tt0235918,7.2,38046.0,"Arabic, Italian, French, Spanish, English"
Sonic X,SHOW,2003,TV-Y7,21,"['action', 'drama', 'thriller', 'animation', 'comedy', 'fantasy', 'family', 'scifi']",['JP'],3.0,tt0367413,6.1,4577.0,"Japanese, English"
DEATH NOTE,SHOW,2006,TV-14,24,"['scifi', 'animation', 'crime', 'drama', 'fantasy', 'thriller']",['JP'],1.0,tt0877057,9.0,302147.0,Japanese
The Vampire Diaries,SHOW,2009,TV-14,42,"['scifi', 'drama', 'thriller', 'fantasy', 'horror', 'romance']",['US'],8.0,tt1405406,7.7,310776.0,English
Naruto,SHOW,2002,TV-PG,23,"['scifi', 'comedy', 'animation', 'action', 'fantasy', 'thriller']",['JP'],6.0,tt0409591,8.4,93980.0,Japanese
America's Next Top Model,SHOW,2003,TV-14,44,['reality'],['US'],24.0,tt0391576,5.6,17843.0,N/A
Chappelle's Show,SHOW,2003,TV-14,21,"['comedy', 'music']",['US'],3.0,tt0353049,8.8,62140.0,English
Trailer Park Boys,SHOW,2001,TV-MA,25,"['comedy', 'crime']",['CA'],12.0,tt0290988,8.6,41791.0,English
Borgen,SHOW,2010,TV-MA,58,"['drama', 'european']",['DK'],4.0,tt1526318,8.5,23523.0,Danish
iCarly,SHOW,2007,TV-G,26,"['comedy', 'family', 'romance']",['US'],6.0,tt0972534,6.7,38281.0,English
Victorious,SHOW,2010,TV-G,25,"['comedy', 'drama', 'family', 'music', 'romance', 'sport']",['US'],4.0,tt1604099,6.9,24224.0,English
Merlin,SHOW,2008,TV-PG,44,"['action', 'scifi', 'drama', 'fantasy', 'european']",['GB'],5.0,tt1199099,7.9,80138.0,"Old English, English"
Gurren Lagann,SHOW,2007,TV-14,24,"['scifi', 'action', 'comedy', 'drama', 'animation']",['JP'],1.0,tt0948103,8.3,17024.0,Japanese
Code Geass: Lelouch of the Rebellion,SHOW,2006,TV-14,24,"['scifi', 'animation', 'action', 'drama', 'thriller', 'war']",['JP'],3.0,tt0994314,8.7,62367.0,Japanese
Transformers: Prime,SHOW,2010,TV-Y7,22,"['action', 'comedy', 'drama', 'family', 'scifi', 'animation']",['US'],4.0,tt1659175,7.9,6500.0,English
The Mole,SHOW,2001,TV-14,52,['reality'],"['US', 'BE']",5.0,tt0294149,7.6,1104.0,N/A
The 4400,SHOW,2004,TV-14,44,"['scifi', 'thriller', 'drama']",['US'],4.0,tt0389564,7.3,44971.0,English
Still Game,SHOW,2002,TV-14,29,"['comedy', 'european']",['GB'],9.0,tt0281491,8.9,7539.0,English
Midnight Diner,SHOW,2009,TV-MA,27,"['drama', 'comedy']",['JP'],5.0,tt1882928,8.6,2110.0,Japanese
H2O: Just Add Water,SHOW,2006,TV-PG,25,"['drama', 'scifi', 'fantasy', 'family']",['AU'],3.0,tt0491603,7.2,14782.0,English
Black Butler,SHOW,2008,TV-MA,25,"['scifi', 'fantasy', 'animation', 'comedy', 'drama', 'thriller', 'crime', 'horror', 'action']",['JP'],3.0,tt1316554,8.3,1856.0,"Japanese, English"
Octonauts,SHOW,2010,TV-Y,15,"['action', 'animation', 'comedy', 'family']",['GB'],6.0,tt1710177,7.6,1049.0,English
Strawberry Shortcake,SHOW,2003,TV-Y,23,"['animation', 'family']",['US'],4.0,tt7996132,7.0,13.0,English
Total Drama Island,SHOW,2007,TV-PG,23,"['action', 'reality', 'animation', 'family', 'comedy', 'drama']",['CA'],6.0,tt1173427,7.4,10523.0,"Romanian, English, French, Spanish"
Boys Over Flowers,SHOW,2009,TV-14,64,"['comedy', 'drama', 'romance']",['KR'],1.0,tt1370334,7.9,11579.0,Korean
Winx Club,SHOW,2004,TV-G,23,"['action', 'comedy', 'family', 'fantasy', 'animation', 'thriller', 'european']",['IT'],8.0,tt3233214,6.2,6700.0,English
Big Time Rush,SHOW,2009,TV-G,25,"['comedy', 'family']",['US'],4.0,tt1131746,6.3,12046.0,English
Dead Set,SHOW,2008,TV-MA,141,"['scifi', 'thriller', 'comedy', 'drama', 'horror', 'european']",['GB'],1.0,tt1285482,7.6,19684.0,English
Toradora!,SHOW,2008,TV-14,30,"['animation', 'romance', 'comedy', 'drama']",['JP'],2.0,tt1279024,8.0,14307.0,"Japanese, English"
Shaun the Sheep,SHOW,2007,TV-G,7,"['animation', 'comedy', 'family', 'european']",['GB'],6.0,tt0983983,8.0,25.0,English
Scare Tactics,SHOW,2003,TV-14,22,"['comedy', 'horror', 'reality', 'scifi', 'thriller']",['US'],5.0,tt0339968,6.7,2512.0,English
Pocoyo,SHOW,2005,TV-G,11,"['animation', 'family', 'comedy', 'european']","['ES', 'GB']",4.0,tt0487849,3.9,93.0,"Spanish, English"
The Game,SHOW,2006,TV-14,22,"['comedy', 'drama', 'sport', 'romance']",['US'],10.0,tt10020984,6.6,4417.0,N/A
Angel Beats!,SHOW,2010,TV-14,26,"['scifi', 'action', 'comedy', 'drama', 'fantasy', 'animation']",['JP'],1.0,tt1639109,7.7,13848.0,Japanese
Masha and the Bear,SHOW,2009,TV-Y,6,"['comedy', 'family', 'action', 'animation']",['RU'],5.0,tt1884856,7.6,3114.0,Russian
Monty Python: Almost the Truth (The Lawyer's Cut),SHOW,2009,TV-MA,55,"['comedy', 'documentation']",['US'],1.0,tt1422182,8.1,1740.0,English
Ouran High School Host Club,SHOW,2006,TV-14,23,"['comedy', 'drama', 'animation', 'romance']",['JP'],1.0,tt0816397,8.2,9763.0,"Japanese, English"
The Ultimatum,SHOW,2009,TV-14,44,['drama'],['SG'],1.0,tt1682704,5.4,6.0,"Mandarin, Chinese"
Mobile Suit Gundam Unicorn,SHOW,2010,TV-14,35,"['action', 'drama', 'scifi', 'war', 'animation']",['JP'],2.0,tt1630623,7.8,1291.0,N/A
Johnny Test,SHOW,2005,TV-Y7,18,"['comedy', 'drama', 'family', 'scifi', 'animation', 'action']","['CA', 'US']",6.0,tt15061770,5.1,8172.0,English
Code Lyoko,SHOW,2003,TV-G,24,"['action', 'fantasy', 'thriller', 'comedy', 'family', 'scifi', 'romance', 'animation']",['FR'],5.0,tt0417311,7.3,5109.0,"English, French"
Iris,SHOW,2009,TV-14,61,"['action', 'comedy', 'reality', 'romance', 'thriller']",['KR'],2.0,tt1399791,7.8,1951.0,Spanish
DreamWorks Shrek's Swamp Stories,SHOW,2010,TV-PG,24,"['horror', 'music', 'animation', 'comedy', 'family', 'fantasy', 'scifi']",['US'],1.0,tt6950338,6.5,330.0,English
Ben & Holly's Little Kingdom,SHOW,2009,TV-G,14,"['comedy', 'family', 'fantasy', 'animation', 'european']",['GB'],3.0,tt1436544,7.5,1222.0,English
The Garfield Show,SHOW,2009,TV-G,17,"['animation', 'comedy', 'family', 'european']",['US'],5.0,tt1470837,5.3,2499.0,"English, French"
Wakfu,SHOW,2008,TV-Y7,22,"['action', 'drama', 'scifi', 'fantasy', 'animation', 'family', 'european']",['FR'],3.0,tt1807824,8.1,1469.0,"English, French"
Vampire Knight,SHOW,2008,TV-14,25,"['scifi', 'romance', 'animation', 'action', 'drama', 'fantasy', 'horror']",['JP'],2.0,tt1209393,7.3,5172.0,Japanese
Den-noh Coil,SHOW,2007,TV-Y7,25,"['scifi', 'animation', 'comedy', 'drama']",['JP'],1.0,tt1033796,7.9,863.0,Japanese
One on One,SHOW,2001,TV-14,20,['comedy'],['US'],5.0,tt0284770,7.0,2303.0,English
The Cartel,SHOW,2008,TV-MA,44,"['action', 'crime', 'drama', 'thriller', 'comedy']",['CO'],2.0,tt1260520,8.1,755.0,Spanish
The Mafia Dolls,SHOW,2009,TV-14,43,"['drama', 'action']",['CO'],2.0,tt1585368,6.6,284.0,Spanish
Einsatzgruppen: The Nazi Death Squads,SHOW,2009,TV-14,44,"['documentation', 'history', 'war', 'european']",['FR'],1.0,tt6953928,7.6,603.0,French
Dreamworks Happy Holidays from Madagascar,SHOW,2005,TV-PG,0,"['animation', 'comedy', 'family']",['US'],1.0,tt6929194,6.5,96.0,English
Half & Half,SHOW,2002,TV-14,21,['comedy'],['US'],4.0,tt0320024,7.0,1827.0,English
Timmy Time,SHOW,2009,TV-Y,14,"['comedy', 'fantasy', 'animation', 'family', 'european']",['GB'],3.0,tt1125758,6.9,1083.0,"None, English"
Vientos de agua,SHOW,2006,TV-MA,72,['drama'],"['ES', 'AR']",1.0,tt0459724,8.7,1034.0,"Spanish, Bable"
Oscar's Oasis,SHOW,2010,TV-Y,9,"['animation', 'comedy', 'european']",['FR'],1.0,tt2080922,7.4,572.0,English
Trotro,SHOW,2004,TV-G,3,"['animation', 'family', 'european']",['FR'],2.0,tt1074443,6.2,120.0,French
Tayo the Little Bus,SHOW,2010,TV-Y,11,"['animation', 'comedy', 'family']",['KR'],6.0,tt3270208,5.2,156.0,"Indonesian, Japanese, Korean, English"
Autumn's Concerto,SHOW,2009,TV-14,58,"['drama', 'romance']",['TW'],1.0,tt3530668,7.9,475.0,Hokkien
DreamWorks Spooky Stories,SHOW,2009,TV-PG,26,['animation'],['US'],1.0,tt6958564,6.2,19.0,English
Behind Enemy Lines,SHOW,2001,TV-14,49,['drama'],['US'],1.0,tt5170230,7.2,42.0,English
Fated to Love You,SHOW,2008,TV-G,67,"['drama', 'comedy', 'romance']",['TW'],1.0,tt1483930,7.4,461.0,Mandarin
Nuevo Rico Nuevo Pobre,SHOW,2007,TV-MA,44,['comedy'],['CO'],1.0,tt1233451,7.2,203.0,N/A
Pecados capitales,SHOW,2002,TV-MA,43,"['comedy', 'drama', 'romance']",['CO'],1.0,tt0355119,8.5,190.0,Spanish
Pedro El Escamoso,SHOW,2001,TV-14,0,"['drama', 'comedy']",['CO'],1.0,tt0283770,7.5,303.0,Spanish
Monty Python's Personal Best,SHOW,2006,TV-PG,56,['comedy'],"['US', 'GB']",1.0,tt0795156,7.9,437.0,English
El cartel 2 - La guerra total,SHOW,2010,TV-MA,44,"['action', 'crime', 'horror', 'thriller', 'war']",['CO'],1.0,tt1667724,6.8,228.0,"Spanish, English, Portuguese"
Edge of the Universe,SHOW,2002,TV-G,49,['documentation'],['GB'],1.0,tt6951568,7.2,206.0,English
The Fierce Wife,SHOW,2010,TV-MA,59,['drama'],['TW'],1.0,tt4304720,6.8,90.0,Mandarin
The Hospital,SHOW,2006,TV-14,48,['drama'],['TW'],1.0,tt2823414,7.4,40.0,Mandarin
Khawatir,SHOW,2005,TV-14,20,['reality'],[],11.0,tt3062514,9.6,3046.0,Arabic
Black & White,SHOW,2009,TV-14,37,"['action', 'comedy', 'sport', 'crime']",['TW'],3.0,tt1508870,7.6,302.0,Mandarin
The Prince Who Turns into a Frog,SHOW,2005,TV-14,44,"['drama', 'romance', 'comedy']",['TW'],1.0,tt1454440,6.8,128.0,Mandarin
Cocaine,SHOW,2005,TV-14,44,"['documentation', 'european']",['US'],1.0,tt0907286,7.1,60.0,"English, Spanish, Portuguese"
Breakout,SHOW,2010,TV-14,44,"['drama', 'action']",['SG'],1.0,tt7131684,6.7,7.0,Chinese
At Dolphin Bay,SHOW,2003,TV-14,59,"['drama', 'comedy', 'romance']",['TW'],1.0,tt8612066,6.9,39.0,"Mandarin, English"
My MVP Valentine,SHOW,2002,TV-PG,69,['drama'],[],1.0,tt6286390,6.5,27.0,Mandarin
Unriddle,SHOW,2010,TV-14,44,"['thriller', 'action', 'drama']",['SG'],2.0,tt12229764,8.0,25.0,N/A
Cocomong,SHOW,2008,TV-Y,13,['animation'],[],4.0,tt9892608,5.6,11.0,English
Call the Midwife,SHOW,2012,TV-PG,56,"['drama', 'history', 'european']",['GB'],11.0,tt1983079,8.5,25562.0,English
New Girl,SHOW,2011,TV-14,21,"['comedy', 'romance']",['US'],7.0,tt1826940,7.7,216209.0,English
Black Mirror,SHOW,2011,TV-MA,59,"['scifi', 'thriller', 'drama', 'european']",['GB'],5.0,tt2085059,8.8,515577.0,English
Longmire,SHOW,2012,TV-14,53,"['western', 'action', 'crime', 'drama']",['US'],6.0,tt1836037,8.3,34362.0,"English, French"
Shameless,SHOW,2011,TV-MA,54,"['drama', 'comedy']",['US'],11.0,tt1586680,8.6,230243.0,English
Happy Endings,SHOW,2011,TV-14,21,"['comedy', 'romance']",['US'],3.0,tt2311579,7.8,37778.0,English
Last Tango in Halifax,SHOW,2012,TV-14,59,"['comedy', 'drama', 'romance', 'european']",['GB'],5.0,tt2216156,8.3,6844.0,English
Ink Master,SHOW,2012,TV-14,42,['reality'],['US'],13.0,tt1865740,7.4,3874.0,"Spanish, English"
Top Boy,SHOW,2011,TV-MA,48,"['drama', 'thriller', 'crime', 'european']",['GB'],2.0,tt1830379,8.4,22420.0,English
Hunter x Hunter,SHOW,2011,TV-14,23,"['drama', 'action', 'comedy', 'crime', 'animation', 'documentation', 'family', 'fantasy']",['JP'],3.0,tt2098220,9.0,87857.0,"Japanese, English"
Arrow,SHOW,2012,TV-14,42,"['action', 'crime', 'drama', 'scifi']",['US'],8.0,tt2193021,7.5,425716.0,"English, Greek, Arabic, Russian, Chinese, Spanish, Japanese"
The Legend of Korra,SHOW,2012,TV-Y7,23,"['action', 'scifi', 'comedy', 'drama', 'family', 'fantasy', 'animation']",['US'],4.0,tt1695360,8.4,117464.0,English
Sword Art Online,SHOW,2012,TV-MA,23,"['scifi', 'action', 'animation', 'drama', 'western', 'comedy', 'fantasy', 'romance', 'thriller']",['JP'],4.0,tt2250192,7.6,43727.0,"Japanese, English"
The Borgias,SHOW,2011,TV-MA,51,"['drama', 'history', 'romance', 'crime']","['CA', 'HU', 'US']",3.0,tt1582457,7.9,50556.0,English
Ninjago: Masters of Spinjitzu,SHOW,2012,TV-Y7,17,"['scifi', 'comedy', 'family', 'fantasy', 'animation', 'action', 'european']","['DK', 'US']",15.0,tt1871731,7.2,4519.0,"Danish, English"
Puella Magi Madoka Magica,SHOW,2011,TV-14,24,"['scifi', 'thriller', 'animation', 'drama', 'fantasy']",['JP'],1.0,tt1773185,8.3,9055.0,Japanese
Transformers: Rescue Bots,SHOW,2012,TV-Y7,22,"['action', 'scifi', 'comedy', 'family', 'animation']",['US'],4.0,tt2139371,6.4,915.0,English
Teen Mom 2,SHOW,2011,TV-14,41,"['reality', 'romance', 'documentation', 'comedy']",['US'],11.0,tt1821220,4.5,28.0,English
Comedians in Cars Getting Coffee,SHOW,2012,TV-14,20,"['comedy', 'family', 'animation']",['US'],11.0,tt2314952,8.0,12363.0,English
Lilyhammer,SHOW,2012,TV-MA,45,"['crime', 'comedy', 'drama']",['NO'],3.0,tt1958961,7.9,29196.0,"Norwegian, English, Portuguese, Lithuanian, Nepali, Arabic"
TIGER & BUNNY,SHOW,2011,TV-14,26,"['scifi', 'action', 'animation', 'comedy', 'crime']",['JP'],2.0,tt2061527,7.3,998.0,Japanese
Fate/Zero,SHOW,2011,TV-MA,25,"['scifi', 'action', 'animation', 'drama', 'fantasy', 'thriller']",['JP'],2.0,tt2051178,8.2,12568.0,Japanese
Blue Exorcist,SHOW,2011,TV-14,24,"['scifi', 'horror', 'family', 'animation', 'action', 'drama', 'fantasy']",['JP'],2.0,tt1799631,7.5,12741.0,Japanese
Barbie: Life in the Dreamhouse,SHOW,2012,TV-Y,6,"['animation', 'comedy', 'family']",['US'],7.0,tt2644032,7.3,1806.0,English
anohana: The Flower We Saw That Day,SHOW,2011,TV-PG,23,"['drama', 'fantasy', 'romance', 'animation']",['JP'],1.0,tt1913273,8.2,12682.0,"Japanese, English"
Magi,SHOW,2012,TV-14,24,"['scifi', 'action', 'comedy', 'animation', 'fantasy']",['JP'],3.0,tt2425098,7.8,3899.0,Japanese
Cuckoo,SHOW,2012,TV-14,27,"['comedy', 'drama', 'european']",['GB'],5.0,tt2329333,5.9,20.0,English
My Babysitter's a Vampire,SHOW,2011,TV-PG,22,"['scifi', 'fantasy', 'horror', 'action', 'comedy']","['US', 'CA']",2.0,tt1727434,6.9,4367.0,English
Kuroko's Basketball,SHOW,2012,TV-14,24,"['animation', 'comedy', 'sport']",['JP'],3.0,tt2348803,8.3,8052.0,Japanese
Rita,SHOW,2012,TV-MA,40,"['comedy', 'drama', 'european']",['DK'],5.0,tt1973692,8.1,8718.0,Danish
Wolverine,SHOW,2011,TV-14,24,"['action', 'scifi', 'animation']",['JP'],1.0,tt1847521,6.2,1458.0,"Japanese, English"
LEGO City,SHOW,2011,TV-G,4,"['animation', 'european']",['GB'],3.0,tt7530250,5.0,37.0,N/A
MeatEater,SHOW,2012,TV-14,22,['documentation'],['US'],10.0,tt2169245,7.5,1462.0,English
Outback Truckers,SHOW,2012,TV-14,44,"['reality', 'documentation']",['AU'],9.0,tt5632186,7.4,264.0,N/A
LEGO Friends,SHOW,2012,TV-Y,16,"['animation', 'european']",['US'],5.0,tt9148446,7.6,16.0,N/A
La Reina del Sur,SHOW,2011,TV-MA,42,"['drama', 'action', 'crime', 'thriller']",['MX'],2.0,tt1704637,8.0,2445.0,"Spanish, Arabic, Russian, English"
Pablo Escobar: The Drug Lord,SHOW,2012,TV-14,44,"['crime', 'drama', 'history', 'thriller']",['CO'],1.0,tt2187850,8.4,4923.0,Spanish
Larva,SHOW,2011,TV-G,2,"['comedy', 'family', 'animation', 'drama', 'horror', 'thriller']",['KR'],5.0,tt6966158,7.1,582.0,None
The Ultimate Braai Master,SHOW,2012,TV-PG,45,['reality'],['ZA'],4.0,tt3264864,8.2,31.0,English
Minecraft: Story Mode,SHOW,2011,TV-PG,62,[],['US'],1.0,tt10498322,5.5,300.0,English
EastSiders,SHOW,2012,TV-MA,22,"['drama', 'comedy']",['US'],4.0,tt2558816,6.8,2723.0,"English, Swiss German"
Smile PreCure!,SHOW,2012,TV-Y7,22,"['comedy', 'action', 'scifi', 'family', 'fantasy', 'animation']",['JP'],2.0,tt2230557,6.1,388.0,"Japanese, English, Spanish, French, Italian, German, Korean"
Robocar Poli,SHOW,2011,TV-Y,14,"['family', 'fantasy', 'animation', 'comedy']",['KR'],4.0,tt4763642,5.8,125.0,"Korean, Spanish, Chinese, Japanese, English, Portuguese"
Little Baby Bum,SHOW,2011,TV-Y,5,"['animation', 'family', 'music']",['GB'],4.0,tt10051854,6.4,94.0,"Spanish, Portuguese, English"
The American Bible Challenge,SHOW,2012,TV-G,43,['family'],['US'],3.0,tt2246424,6.4,125.0,English
Inside West Coast Customs,SHOW,2011,TV-PG,47,['reality'],['US'],8.0,tt8358972,7.4,42.0,English
Masha's tales,SHOW,2012,TV-Y,5,"['animation', 'family']",['RU'],2.0,tt3840498,6.4,89.0,Russian
El Reemplazante,SHOW,2012,TV-MA,45,['drama'],['CL'],2.0,tt2488050,8.5,755.0,Spanish
Justin Time,SHOW,2011,TV-Y,15,"['action', 'animation', 'family', 'comedy']",['CA'],3.0,tt1759210,6.0,16.0,Spanish
Meet the Adebanjos,SHOW,2012,TV-PG,25,['comedy'],['GB'],3.0,tt2344781,7.6,76.0,English
The Oath,SHOW,2011,TV-14,44,['drama'],['SG'],1.0,tt7131686,7.9,9.0,Mandarin
Inborn Pair,SHOW,2011,TV-14,43,"['drama', 'comedy']",['TW'],1.0,tt6357282,7.1,108.0,Mandarin
Office Girls,SHOW,2011,TV-14,46,"['drama', 'comedy', 'romance']",['TW'],1.0,tt4381290,6.9,140.0,Mandarin
"Love, Now",SHOW,2012,TV-Y,45,"['drama', 'comedy']",['TW'],1.0,tt6273116,7.6,116.0,Mandarin
Masameer,SHOW,2011,TV-MA,0,"['comedy', 'animation']",['SA'],1.0,tt6298258,8.2,677.0,Arabic
Drunken to Love You,SHOW,2011,TV-14,46,"['comedy', 'drama', 'romance']",['TW'],1.0,tt2661520,6.5,114.0,N/A
Yours Fatefully,SHOW,2012,TV-14,44,"['drama', 'comedy', 'romance']",['SG'],1.0,tt7131690,6.8,14.0,Chinese
The Glamorous Imperial Concubine,SHOW,2011,TV-PG,47,"['drama', 'romance', 'history']",['CN'],1.0,tt2272555,7.0,142.0,Mandarin
